p11	P12	dist_E_mean	dist_E_sem	trelax_norm_mean	trelax_norm_sem	sat_frac	reps	TMAX	samples	source
0.74	0.2	0.330091807513	0.0177570788908	0.356790123457	0.0244332404327	0.168724279835	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-07_relaxation_critical_p_narrow_TMAX400k\raw\initial_plane__N1_500__N2_500__P11_0p740__P12_0p20__P22_0p740__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.745	0.2	0.314210843184	0.0178943866582	0.341995884774	0.0236828505547	0.164609053498	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p745__P12_0p20__P22_0p745__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.75	0.2	0.302385142111	0.0181303842517	0.0475720164609	0.00139989510949	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p75__P12_0p20__P22_0p75__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.76	0.2	0.296210332363	0.0183490933886	0.357345679012	0.0241955611027	0.148148148148	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p76__P12_0p20__P22_0p76__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.8	0.2	0.27314241798	0.0189705736742	0.29475308642	0.0220601046987	0.111111111111	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p80__P12_0p20__P22_0p80__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.85	0.2	0.254206511698	0.0194878374809	0.0479218106996	0.00135832933131	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p85__P12_0p20__P22_0p85__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.9	0.2	0.245492493724	0.0196528597188	0.0464197530864	0.00138450600269	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p90__P12_0p20__P22_0p90__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.7	0.21	0.575776269711	0.00652616994189	0.0728189300412	0.00400753472092	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_refine\raw\initial_plane__N1_500__N2_500__P11_0p70__P12_0p21__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.73	0.21	0.554138516955	0.00745918022248	0.0778395061728	0.0041310141667	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_refine\raw\initial_plane__N1_500__N2_500__P11_0p73__P12_0p21__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.76	0.21	0.50013913722	0.011329637891	0.159197530864	0.0112342946022	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_refine\raw\initial_plane__N1_500__N2_500__P11_0p76__P12_0p21__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.77	0.21	0.385566760444	0.0163435655325	0.328621399177	0.0220124832673	0.111111111111	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\high_p11_frontier\raw\initial_plane__N1_500__N2_500__P11_0p77__P12_0p21__P22_0p77__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.78	0.21	0.319395340432	0.0177073529143	0.374897119342	0.0251627604666	0.17695473251	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\high_p11_frontier\raw\initial_plane__N1_500__N2_500__P11_0p78__P12_0p21__P22_0p78__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.79	0.21	0.294864733111	0.0184068200359	0.355637860082	0.0247294052536	0.181069958848	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\high_p11_frontier\raw\initial_plane__N1_500__N2_500__P11_0p79__P12_0p21__P22_0p79__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.8	0.21	0.284250907093	0.0144270846211	0.326234567901	0.0174952772219	0.118518518519	5	400000	405	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\boundary_robustness\raw\initial_plane__N1_500__N2_500__P11_0p80__P12_0p21__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_5.txt
0.7	0.22	0.594890627387	0.00576795559629	0.069341563786	0.00409152144522	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_refine\raw\initial_plane__N1_500__N2_500__P11_0p70__P12_0p22__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
